homestay_id,homestay_name,destination_id,price,rating,amenities,review
H001,Sunrise Phewa Lake Guest House,D001,1600,4.3,"Restaurant, Pet Friendly, Family Room, Airport Pickup",Peaceful stay close to major attractions.
H002,Green Phewa Lake Inn,D001,1300,4.8,"Family Room, WiFi, Restaurant, Parking",Peaceful stay close to major attractions.
H003,Hill Phewa Lake Homestay,D001,3200,4.1,"Airport Pickup, WiFi, Family Room",Peaceful stay close to major attractions.
H004,Everest Phewa Lake Residence,D001,1300,4.5,"Restaurant, Airport Pickup, Hot Shower, Parking",Peaceful stay close to major attractions.
H005,Annapurna Phewa Lake Retreat,D001,4100,4.9,"Family Room, Airport Pickup, Breakfast",Peaceful stay close to major attractions.
H006,Annapurna Phewa Lake Residence,D001,3000,4.2,"Airport Pickup, Family Room, Hot Shower, Parking",Great value for money with authentic local meals.
H007,Hill Sarangkot Inn,D002,4400,4.4,"Restaurant, Hot Shower, Family Room",Beautiful views and a welcoming family atmosphere.
H008,Annapurna Sarangkot Retreat,D002,3500,4.5,"Mountain View, Breakfast, Restaurant, Pet Friendly, Garden",Friendly hosts with clean rooms and excellent hospitality.
H009,Sunrise Sarangkot Guest House,D002,3700,4.4,"WiFi, Restaurant, Pet Friendly, Parking, Mountain View",Comfortable rooms and helpful hosts.
H010,Hill Sarangkot Guest House,D002,3700,4.6,"Airport Pickup, Hot Shower, WiFi",Peaceful stay close to major attractions.
H011,River Sarangkot Guest House,D002,2600,4.4,"Pet Friendly, Mountain View, Restaurant, Parking",Comfortable rooms and helpful hosts.
H012,Hill Sarangkot Residence,D002,1200,4.4,"Airport Pickup, Parking, Hot Shower, Restaurant, WiFi",Beautiful views and a welcoming family atmosphere.
H013,Lakeside Annapurna Base Camp Guest House,D003,4700,4.3,"Family Room, Restaurant, Mountain View, Hot Shower, Parking",Friendly hosts with clean rooms and excellent hospitality.
H014,River Annapurna Base Camp Guest House,D003,3300,4.5,"Hot Shower, Parking, Airport Pickup",Friendly hosts with clean rooms and excellent hospitality.
H015,River Annapurna Base Camp Lodge,D003,1400,4.8,"Breakfast, Pet Friendly, WiFi, Hot Shower, Restaurant",Great value for money with authentic local meals.
H016,Himalayan Annapurna Base Camp Lodge,D003,1900,4.7,"Mountain View, Garden, Breakfast",Peaceful stay close to major attractions.
H017,Sunrise Annapurna Base Camp Lodge,D003,4500,4.9,"Garden, Pet Friendly, Restaurant, Mountain View, Parking",Beautiful views and a welcoming family atmosphere.
H018,Valley Annapurna Base Camp Homestay,D003,1300,4.3,"Family Room, Hot Shower, Garden, WiFi",Great value for money with authentic local meals.
H019,Heritage Poon Hill Guest House,D004,2500,4.9,"WiFi, Hot Shower, Pet Friendly, Airport Pickup",Peaceful stay close to major attractions.
H020,Mountain Poon Hill Residence,D004,2200,4.5,"Family Room, Airport Pickup, Hot Shower, Mountain View, Pet Friendly",Comfortable rooms and helpful hosts.
